start_date,end_date,start_time,end_time,Open,High,Low,Close,Volume,dollar
2015-01-02,2015-01-02,4:00:00.019,9:30:00.130,111.0,111.5,110.38,111.41,1101378,122639618.94500002
2015-01-02,2015-01-02,9:30:00.138,9:32:13.867,111.42,111.47,111.14,111.295,698116,100319724.04570006
2015-01-02,2015-01-02,9:32:14.072,9:35:52.843,111.3,111.315,111.04,111.25,896735,100015038.57390018
2015-01-02,2015-01-02,9:35:52.879,9:39:22.701,111.25,111.34,110.84,110.87,900089,100008096.27219997
2015-01-02,2015-01-02,9:39:22.701,9:44:37.205,110.87,111.41,110.629,110.8605,902231,100003137.96720013
2015-01-02,2015-01-02,9:44:37.206,9:48:11.271,110.8649,110.89,110.15,110.15,904956,100019451.13240008
2015-01-02,2015-01-02,9:48:11.275,9:48:54.429,110.15,110.15,109.44,109.755,910210,100004322.88970008
2015-01-02,2015-01-02,9:48:54.447,9:50:33.086,109.755,110.2414,109.26,109.3549,914201,100136598.2574001
2015-01-02,2015-01-02,9:50:33.143,9:52:31.394,109.3614,109.63,109.11,109.265,913363,100002819.3595001
2015-01-02,2015-01-02,9:52:31.396,9:54:02.868,109.265,109.36,108.65,108.765,916464,100002044.18410015
2015-01-02,2015-01-02,9:54:02.869,9:56:20.569,108.765,109.2,108.7001,109.11,917704,100050587.11480027
2015-01-02,2015-01-02,9:56:20.570,9:59:20.909,109.11,109.5,109.11,109.5,914320,100006961.54230043
2015-01-02,2015-01-02,9:59:20.909,10:03:21.288,109.5,109.56,109.2211,109.47,913799,100003439.24760038
2015-01-02,2015-01-02,10:03:21.289,10:08:02.892,109.47,109.71,109.27,109.31,913318,100026393.01380023
2015-01-02,2015-01-02,10:08:02.897,10:13:26.413,109.32,109.9157,109.2,109.295,914651,100013342.7799002
2015-01-02,2015-01-02,10:13:26.413,10:17:41.672,109.295,109.47,109.09,109.1,915072,100002930.32130016
2015-01-02,2015-01-02,10:17:41.672,10:21:48.080,109.1,109.2767,108.94,108.94,916749,100003349.04180029
2015-01-02,2015-01-02,10:21:48.178,10:25:54.416,108.96,109.0,108.77,109.0,918485,100016461.91970022
2015-01-02,2015-01-02,10:25:54.416,10:32:39.996,109.0,109.27,108.88,109.02,916933,100006928.15110023
2015-01-02,2015-01-02,10:32:39.996,10:37:56.930,109.015,109.08,108.56,108.6,919089,100017257.88390039
2015-01-02,2015-01-02,10:37:56.931,10:40:01.845,108.6,108.62,108.2,108.2,922292,100008177.33730057
2015-01-02,2015-01-02,10:40:01.848,10:43:35.960,108.2,108.5458,108.07,108.08,963484,104268444.97480057
2015-01-02,2015-01-02,10:43:35.960,10:44:34.794,108.08,108.08,107.35,107.35,912439,102566677.3145004
2015-01-02,2015-01-02,10:44:34.800,10:46:45.192,107.35,107.95,107.35,107.95,904824,100024685.14210059
2015-01-02,2015-01-02,10:46:45.475,10:50:06.901,107.94,108.23,107.8155,108.13,925370,100009361.39880063
2015-01-02,2015-01-02,10:50:06.901,10:55:24.927,108.13,108.48,108.11,108.47,923846,100012826.64160047
2015-01-02,2015-01-02,10:55:24.939,11:01:54.678,108.47,108.49,108.1426,108.19,922954,100007287.16120058
2015-01-02,2015-01-02,11:01:54.679,11:09:19.153,108.19,108.28,108.03,108.14,924465,100006028.81080057
2015-01-02,2015-01-02,11:09:19.153,11:14:50.757,108.14,108.331,107.85,108.08,926968,100132534.45630068
2015-01-02,2015-01-02,11:14:50.757,11:22:24.575,108.08,108.2,107.9286,108.035,924008,100009999.50660059
2015-01-02,2015-01-02,11:22:24.575,11:30:05.026,108.04,108.441,108.02,108.3701,923733,100073657.92350042
2015-01-02,2015-01-02,11:30:05.252,11:39:28.455,108.3755,108.55,108.3,108.44,921716,100007932.2532004
2015-01-02,2015-01-02,11:39:28.455,11:48:54.571,108.45,108.73,108.21,108.69,921957,100004533.89450026
2015-01-02,2015-01-02,11:48:54.576,11:58:41.642,108.69,108.79,108.51,108.76,920165,100004592.50100027
2015-01-02,2015-01-02,11:58:41.642,12:09:13.817,108.76,108.95,108.6785,108.8901,918889,100029459.68090007
2015-01-02,2015-01-02,12:09:14.436,12:16:06.724,108.9,109.11,108.8684,108.9235,920030,100312608.63819997
2015-01-02,2015-01-02,12:16:07.081,12:26:34.948,108.9299,109.23,108.8718,109.139,914673,100071755.04699999
